Dataset,Method,Type,Known_AP50,Known_Precision50,Known_Recall50,Unknown_AP50,Unknown_Precision50,U_Recall,A_OSE
Clean,OW-DETR,OWOD,64.5390,4.8716,97.1180,4.5194,0.3667,39.9481,993
Clean,PROB,OWOD,11.4066,7.0747,17.7214,1.2848,0.3320,90.6615,305
Clean,OWL-ViT,OVD foundation model,68.4376,32.7104,89.8037,30.4299,6.6585,84.5655,90
Clean,Grounding DINO,OVD foundation model,73.7542,16.5715,91.6714,33.1193,1.4527,99.4812,134
Clean,Mamba-KAT,OV-OW with adapter,74.2364,59.9009,89.8624,9.5461,9.1619,45.6550,83
Fog,OW-DETR,OWOD,61.6178,4.3452,96.1132,2.5624,0.3765,42.6719,1386
Fog,PROB,OWOD,10.9453,7.1997,17.7617,1.0916,0.3220,88.0674,242
Fog,OWL-ViT,OVD foundation model,63.9590,36.8450,83.0520,27.3982,8.7333,71.9844,99
Fog,Grounding DINO,OVD foundation model,73.3388,19.2396,92.5553,32.7682,1.7354,98.5733,139
Fog,Mamba-KAT,OV-OW with adapter,69.2987,60.3823,84.0374,8.4859,10.6437,38.3917,78
Rain,OW-DETR,OWOD,55.8990,3.7683,94.0092,2.0232,0.3744,40.5966,1569
Rain,PROB,OWOD,10.1941,8.3996,17.8180,1.0176,0.2996,81.9715,218
Rain,OWL-ViT,OVD foundation model,65.2869,27.9780,85.9608,27.5009,7.6071,75.7458,111
Rain,Grounding DINO,OVD foundation model,72.3526,15.0123,91.1870,30.0442,1.4906,98.1842,158
Rain,Mamba-KAT,OV-OW with adapter,69.3570,60.0031,83.9481,9.6094,9.6543,38.3917,78
Snow,OW-DETR,OWOD,60.5701,3.9403,95.8204,2.6274,0.3709,42.0233,1282
Snow,PROB,OWOD,9.9087,8.6537,16.9788,1.0763,0.3115,85.2140,223
Snow,OWL-ViT,OVD foundation model,66.1938,29.1339,86.8441,27.7619,7.9711,77.3022,103
Snow,Grounding DINO,OVD foundation model,73.6782,15.4882,91.3239,31.2752,1.5418,98.7030,150
Snow,Mamba-KAT,OV-OW with adapter,72.5284,61.5188,87.0019,9.2243,9.3592,43.1907,80
Mixed,OW-DETR,OWOD,58.6831,3.9580,95.3142,2.3149,0.3739,41.7639,4237
Mixed,PROB,OWOD,3.6484,7.1997,5.9206,0.3639,0.3220,29.3558,242
Mixed,OWL-ViT,OVD foundation model,21.3197,36.8450,27.6840,9.1327,8.7333,23.9948,99
Mixed,Grounding DINO,OVD foundation model,24.4463,19.2396,30.8518,10.9227,1.7354,32.8578,139
Mixed,Mamba-KAT,OV-OW with adapter,70.0404,60.5883,84.9958,8.9742,9.8352,39.9914,236
