Dataset,Method,Known_AP50,Known_Precision50,Known_Recall50,Unknown_AP50,Unknown_Precision50,U_Recall,A_OSE
VOC clean,Baseline,70.9687,62.2183,86.0852,9.8189,8.9931,48.7678,80
VOC clean,Mamba-KAT,74.2364,59.9009,89.8624,9.5461,9.1619,45.6550,83
VOC fog,Baseline,66.5138,62.2323,80.8186,8.7999,10.1333,39.4293,70
VOC fog,Mamba-KAT,69.2987,60.3823,84.0374,8.4859,10.6437,38.3917,78
VOC rain,Baseline,65.3148,62.6182,79.2222,9.2562,9.8429,39.8184,64
VOC rain,Mamba-KAT,69.3570,60.0031,83.9481,9.6094,9.6543,38.3917,78
VOC snow,Baseline,68.9788,63.1923,83.5980,8.6444,8.7003,42.5422,69
VOC snow,Mamba-KAT,72.5284,61.5188,87.0019,9.2243,9.3592,43.1907,80
VOC mixed,Baseline,66.5536,62.6160,81.2129,8.7238,9.4906,40.5966,202
VOC mixed,Mamba-KAT,70.0404,60.5883,84.9958,8.9742,9.8352,39.9914,236
RTTS,Baseline,56.7651,85.4008,59.8367,N/A,N/A,N/A,0
RTTS,Mamba-KAT,58.6621,84.7227,62.0615,N/A,N/A,N/A,0
Foggy Driving,Baseline,35.5202,69.9485,42.0654,11.0438,10.8108,25.0000,24
Foggy Driving,Mamba-KAT,34.8948,70.9498,40.0296,9.6829,9.9099,17.1875,24
