model,split,n,correct_logit_mean,correct_logit_sd,correct_logit_se,correct_logit_ci95_low,correct_logit_ci95_high,correct_prob_mean,correct_prob_sd,correct_prob_se,correct_prob_ci95_low,correct_prob_ci95_high,margin_logit_mean,margin_logit_sd,margin_logit_se,margin_logit_ci95_low,margin_logit_ci95_high,top1_correct_mean,top1_correct_sd,top1_correct_se,top1_correct_ci95_low,top1_correct_ci95_high,entropy_mean,entropy_sd,entropy_se,entropy_ci95_low,entropy_ci95_high
OW-OVD,clean,3967,-12.143780875752908,3.1977320046811717,0.05077044422691515,-12.243290946437662,-12.044270805068154,0.009244099500897147,0.07352452886118797,0.001167350167679027,0.006956093172246254,0.01153210582954804,2.557743272403941,4.100913207479145,0.06511026720655369,2.430127148679096,2.6853593961287863,0.7607764053440887,0.4266632810410112,0.006774140009873989,0.7474990909247358,0.7740537197634417,0.38088347969080133,0.38570501853867434,0.006123844994856439,0.36888074350088274,0.3928862158807199
Mamba-KAT,clean,3967,-11.831793612126052,3.3108680016311895,0.052566706332306944,-11.934824356537375,-11.72876286771473,0.011480214111010963,0.0830569496069376,0.0013186965704141819,0.008895568832999167,0.01406485938902276,2.5998822668502033,4.191540258249264,0.06654915439905087,2.4694459242280637,2.730318609472343,0.7625409629442904,0.42557948601190254,0.006756932578169826,0.7492973750910775,0.7757845507975033,0.3694209578363163,0.37505198501919185,0.005954706604473324,0.35774973289154854,0.38109218278108403
OW-OVD,fog,3967,-11.649526968692273,3.214061212211515,0.051029703326481775,-11.749545187212178,-11.549508750172368,0.008415072686517857,0.06823590064460691,0.0010833825295174326,0.006291642928663689,0.010538502444372025,2.72857171569028,3.9427045379413217,0.06259838552878144,2.6058788800538686,2.8512645513266914,0.7731283085455004,0.41886173521242925,0.006650274736988736,0.7600937700610025,0.7861628470299983,0.3580160527347761,0.3746723176226556,0.0059486786189034266,0.3463566426417254,0.3696754628278268
Mamba-KAT,fog,3967,-11.39056481875128,3.251200070880958,0.05161935760331547,-11.491738759653778,-11.289390877848781,0.010090336364204762,0.07670166429055653,0.0012177935997371163,0.007703460908720014,0.01247721181968951,2.755471913015809,4.058398986629476,0.06443526821497494,2.629178787314458,2.8817650387171603,0.7726241492311571,0.41919013440958525,0.006655488736504319,0.7595793913076087,0.7856689071547055,0.34650981803153685,0.36877743343837927,0.0058550854446587424,0.33503385056000573,0.357985785503068
OW-OVD,rain,3967,-11.73224405801233,3.203316603689343,0.050859110998257774,-11.831927915568915,-11.632560200455746,0.007642590039033464,0.06251622936225505,0.0009925712134309596,0.005697150460708783,0.009588029617358145,2.4615878634528547,3.926932264498749,0.062347968880989965,2.3393858444461144,2.583789882459595,0.7638013612301487,0.42479916511089294,0.0067445434102452444,0.7505820561460681,0.7770206663142294,0.41529824934960813,0.403518635313201,0.006406672084683473,0.4027411720636285,0.42785532663558773
Mamba-KAT,rain,3967,-11.278657119641354,3.348271320054341,0.05316055944104909,-11.38285181614581,-11.174462423136898,0.009768516703876868,0.07283517141449042,0.0011564052280315733,0.007501962456934984,0.012035070950818752,2.5101064710133856,4.062861493196438,0.06450611950596447,2.383674476781695,2.636538465245076,0.7617847239727754,0.42604520230962484,0.006764326763575126,0.7485266435161682,0.7750428044293827,0.3985576128780884,0.39218203427507387,0.006226680681436907,0.38635331874247203,0.41076190701370474
OW-OVD,snow,3967,-11.770976221408176,3.1544990233784826,0.050084033463668506,-11.869140926996966,-11.672811515819387,0.008150399946883312,0.06659414760383228,0.0010573163891814082,0.006078059824087752,0.010222740069678871,2.210252915217229,4.008916063568031,0.06364962702246783,2.0854996462531923,2.335006184181266,0.7368288379127804,0.44041003071461987,0.0069923973830946385,0.723123739041915,0.7505339367836459,0.4253328904464154,0.4008326336301586,0.006364026391284942,0.41285939871949695,0.4378063821733339
Mamba-KAT,snow,3967,-11.435010200487987,3.2799912570199945,0.0520764757445352,-11.537080092947276,-11.332940308028698,0.01096855053295502,0.08023122081013892,0.0012738324273064297,0.008471838975434416,0.013465262090475622,2.236499643337826,4.118241185275968,0.06538538379825398,2.108344291093248,2.364654995582404,0.7343080413410638,0.44175664662741343,0.007013777626340626,0.7205610371934361,0.7480550454886914,0.4118033934056013,0.39050188019917353,0.006200004847227459,0.39965138390503546,0.4239554029061671
OW-OVD,rtts,28736,-12.383025989683142,4.2717061653345825,0.02519928475057051,-12.432416587794261,-12.333635391572024,0.019145179918819318,0.10359174399014107,0.0006110995825976488,0.017947424736927925,0.02034293510071071,-0.2002029694235139,3.9825991528201086,0.023493809315284254,-0.24625083568147105,-0.15415510316555675,0.4197174276169265,0.49352120973864205,0.00291133823659802,0.41401120467319436,0.4254236505606586,0.5853890391144484,0.43134003968142864,0.0025445243805535373,0.5804017713285634,0.5903763069003334
Mamba-KAT,rtts,28736,-12.319992079965786,4.4250705664925665,0.02610399894808322,-12.37115591790403,-12.268828242027542,0.02399821500255348,0.1199088685245653,0.0007073561722456568,0.022611796904951995,0.025384633100154968,-0.15446377615288795,4.2085665421013925,0.02482681686928021,-0.20312433721667716,-0.10580321508909873,0.42657293986636974,0.4945876862619253,0.002917629503962827,0.4208543860386026,0.4322914936941369,0.5247029218020326,0.40424909497450034,0.002384711789656762,0.5200288866943054,0.5293769569097598
