comparison,model,split,baseline_split,metric,n,baseline_n,mean_delta
split mean minus clean mean,OW-OVD,fog,clean,correct_logit,3967,3967,0.4942539070606351
split mean minus clean mean,OW-OVD,fog,clean,correct_prob,3967,3967,-0.0008290268143792898
split mean minus clean mean,OW-OVD,fog,clean,margin_logit,3967,3967,0.17082844328633895
split mean minus clean mean,OW-OVD,fog,clean,top1_correct,3967,3967,0.012351903201411663
split mean minus clean mean,OW-OVD,fog,clean,entropy,3967,3967,-0.022867426956025227
split mean minus clean mean,OW-OVD,rain,clean,correct_logit,3967,3967,0.4115368177405774
split mean minus clean mean,OW-OVD,rain,clean,correct_prob,3967,3967,-0.0016015094618636828
split mean minus clean mean,OW-OVD,rain,clean,margin_logit,3967,3967,-0.09615540895108632
split mean minus clean mean,OW-OVD,rain,clean,top1_correct,3967,3967,0.003024955886059999
split mean minus clean mean,OW-OVD,rain,clean,entropy,3967,3967,0.0344147696588068
split mean minus clean mean,OW-OVD,snow,clean,correct_logit,3967,3967,0.37280465434473165
split mean minus clean mean,OW-OVD,snow,clean,correct_prob,3967,3967,-0.0010936995540138349
split mean minus clean mean,OW-OVD,snow,clean,margin_logit,3967,3967,-0.34749035718671184
split mean minus clean mean,OW-OVD,snow,clean,top1_correct,3967,3967,-0.023947567431308325
split mean minus clean mean,OW-OVD,snow,clean,entropy,3967,3967,0.044449410755614094
split mean minus clean mean,OW-OVD,rtts,clean,correct_logit,28736,3967,-0.2392451139302345
split mean minus clean mean,OW-OVD,rtts,clean,correct_prob,28736,3967,0.00990108041792217
split mean minus clean mean,OW-OVD,rtts,clean,margin_logit,28736,3967,-2.757946241827455
split mean minus clean mean,OW-OVD,rtts,clean,top1_correct,28736,3967,-0.34105897772716226
split mean minus clean mean,OW-OVD,rtts,clean,entropy,28736,3967,0.20450555942364707
split mean minus clean mean,Mamba-KAT,fog,clean,correct_logit,3967,3967,0.4412287933747727
split mean minus clean mean,Mamba-KAT,fog,clean,correct_prob,3967,3967,-0.0013898777468062014
split mean minus clean mean,Mamba-KAT,fog,clean,margin_logit,3967,3967,0.1555896461656059
split mean minus clean mean,Mamba-KAT,fog,clean,top1_correct,3967,3967,0.010083186286866663
split mean minus clean mean,Mamba-KAT,fog,clean,entropy,3967,3967,-0.022911139804779435
split mean minus clean mean,Mamba-KAT,rain,clean,correct_logit,3967,3967,0.5531364924846986
split mean minus clean mean,Mamba-KAT,rain,clean,correct_prob,3967,3967,-0.0017116974071340954
split mean minus clean mean,Mamba-KAT,rain,clean,margin_logit,3967,3967,-0.08977579583681772
split mean minus clean mean,Mamba-KAT,rain,clean,top1_correct,3967,3967,-0.0007562389715149997
split mean minus clean mean,Mamba-KAT,rain,clean,entropy,3967,3967,0.029136655041772097
split mean minus clean mean,Mamba-KAT,snow,clean,correct_logit,3967,3967,0.3967834116380651
split mean minus clean mean,Mamba-KAT,snow,clean,correct_prob,3967,3967,-0.0005116635780559441
split mean minus clean mean,Mamba-KAT,snow,clean,margin_logit,3967,3967,-0.3633826235123774
split mean minus clean mean,Mamba-KAT,snow,clean,top1_correct,3967,3967,-0.028232921603226657
split mean minus clean mean,Mamba-KAT,snow,clean,entropy,3967,3967,0.042382435569285004
split mean minus clean mean,Mamba-KAT,rtts,clean,correct_logit,28736,3967,-0.48819846783973375
split mean minus clean mean,Mamba-KAT,rtts,clean,correct_prob,28736,3967,0.012518000891542518
split mean minus clean mean,Mamba-KAT,rtts,clean,margin_logit,28736,3967,-2.7543460430030913
split mean minus clean mean,Mamba-KAT,rtts,clean,top1_correct,28736,3967,-0.3359680230779207
split mean minus clean mean,Mamba-KAT,rtts,clean,entropy,28736,3967,0.1552819639657163
