comparison,model,split,baseline_split,metric,n_pairs,mean_delta,sd_delta,se_delta,ci95_low,ci95_high,fraction_positive
Mamba-KAT minus OW-OVD,Mamba-KAT,clean,clean,correct_logit,3967,0.31198726362685636,1.1636088524699293,0.018474637105231565,0.2757769749006025,0.34819755235311023,0.6604487017897656
Mamba-KAT minus OW-OVD,Mamba-KAT,clean,clean,correct_prob,3967,0.002236114610113818,0.030692476105403724,0.00048730495364031996,0.0012809969009787909,0.003191232319248845,0.6604487017897656
Mamba-KAT minus OW-OVD,Mamba-KAT,clean,clean,margin_logit,3967,0.04213899444626235,1.3393087926068576,0.021264227977242006,0.00046110761086801816,0.08381688128165668,0.5177716158306025
Mamba-KAT minus OW-OVD,Mamba-KAT,clean,clean,top1_correct,3967,0.0017645576002016637,0.20021902284656026,0.0031788807560226597,-0.004466048681602749,0.007995163882006077,0.0209226115452483
Mamba-KAT minus OW-OVD,Mamba-KAT,clean,clean,entropy,3967,-0.011462521854484995,0.21022847266220207,0.003337800957235024,-0.018004611730665643,-0.0049204319783043475,0.47239727753970256
Mamba-KAT minus OW-OVD,Mamba-KAT,fog,fog,correct_logit,3967,0.2589621499409927,1.2276498768832451,0.01949141751505047,0.22075897161149377,0.29716532827049164,0.6385177716158306
Mamba-KAT minus OW-OVD,Mamba-KAT,fog,fog,correct_prob,3967,0.0016752636776869057,0.036921162479834416,0.0005861979108102907,0.0005263157724987361,0.0028242115828750755,0.6385177716158306
Mamba-KAT minus OW-OVD,Mamba-KAT,fog,fog,margin_logit,3967,0.026900197325529306,1.3671042516354786,0.02170553694256751,-0.015642655081903017,0.06944304973296163,0.5308797580035292
Mamba-KAT minus OW-OVD,Mamba-KAT,fog,fog,top1_correct,3967,-0.0005041593143433325,0.19576903431367884,0.0031082282140684463,-0.006596286613917487,0.005587967985230822,0.01890597428787497
Mamba-KAT minus OW-OVD,Mamba-KAT,fog,fog,entropy,3967,-0.011506234703239235,0.21296583303976638,0.0033812620734807405,-0.018133508367261485,-0.004878961039216983,0.44693723216536424
Mamba-KAT minus OW-OVD,Mamba-KAT,rain,rain,correct_logit,3967,0.45358693837097797,1.3271188684844906,0.02107068834919345,0.4122883892065588,0.49488548753539713,0.6922107385933955
Mamba-KAT minus OW-OVD,Mamba-KAT,rain,rain,correct_prob,3967,0.0021259266648434006,0.02940432789383421,0.00046685300305917323,0.0012108947788474211,0.00304095855083938,0.6922107385933955
Mamba-KAT minus OW-OVD,Mamba-KAT,rain,rain,margin_logit,3967,0.04851860756053112,1.5502467175955696,0.024613292920865507,0.0002765534356347285,0.09676066168542752,0.5039072346861608
Mamba-KAT minus OW-OVD,Mamba-KAT,rain,rain,top1_correct,3967,-0.00201663725737333,0.23336423696830047,0.0037051278719452945,-0.009278687886386108,0.005245413371639447,0.02621628434585329
Mamba-KAT minus OW-OVD,Mamba-KAT,rain,rain,entropy,3967,-0.016740636471519764,0.2528777605817078,0.0040149444109281686,-0.024609927516938974,-0.008871345426100553,0.45525586085202924
Mamba-KAT minus OW-OVD,Mamba-KAT,snow,snow,correct_logit,3967,0.3359660209201883,1.2073849119515123,0.01916967032975765,0.29839346707386327,0.3735385747665133,0.6720443660196622
Mamba-KAT minus OW-OVD,Mamba-KAT,snow,snow,correct_prob,3967,0.0028181505860717044,0.031596433361528474,0.000501657098031536,0.001834902673929894,0.003801398498213515,0.6720443660196622
Mamba-KAT minus OW-OVD,Mamba-KAT,snow,snow,margin_logit,3967,0.026246728120596606,1.5412427522540362,0.02447033681337301,-0.02171513203361449,0.0742085882748077,0.5074363498865642
Mamba-KAT minus OW-OVD,Mamba-KAT,snow,snow,top1_correct,3967,-0.0025207965717166624,0.2365786089940382,0.003756162510063302,-0.009882875091440733,0.004841281948007409,0.026720443660196623
Mamba-KAT minus OW-OVD,Mamba-KAT,snow,snow,entropy,3967,-0.013529497040814156,0.24164710518879698,0.0038366351084529187,-0.021049301853381875,-0.006009692228246435,0.46407864885303757
Mamba-KAT minus OW-OVD,Mamba-KAT,rtts,rtts,correct_logit,28736,0.06303390971735486,1.2654553373480106,0.0074650662172743585,0.04840237993149711,0.0776654395032126,0.5286748329621381
Mamba-KAT minus OW-OVD,Mamba-KAT,rtts,rtts,correct_prob,28736,0.00485303508373429,0.04364351151625705,0.0002574580815360983,0.004348417243923537,0.005357652923545043,0.5286748329621381
Mamba-KAT minus OW-OVD,Mamba-KAT,rtts,rtts,margin_logit,28736,0.04573919327062594,1.354839605632017,0.007992354270696368,0.03007417890006106,0.061404207641190825,0.4922048997772829
Mamba-KAT minus OW-OVD,Mamba-KAT,rtts,rtts,top1_correct,28736,0.006855512249443207,0.26154561033321894,0.001542887561774118,0.0038314526283659356,0.009879571870520479,0.037653118040089084
Mamba-KAT minus OW-OVD,Mamba-KAT,rtts,rtts,entropy,28736,-0.06068611731241563,0.2454132238328582,0.0014477207629835442,-0.06352365000786338,-0.05784858461696789,0.33905206013363026
weather minus clean,OW-OVD,fog,clean,correct_logit,3967,0.4942539070606352,1.9393430259699478,0.0307909814808515,0.43390358335816626,0.5546042307631042,0.6498613561885556
weather minus clean,OW-OVD,fog,clean,correct_prob,3967,-0.0008290268143792873,0.037992697437014625,0.0006032106891485216,-0.0020113197651103897,0.000353266136351815,0.6498613561885556
weather minus clean,OW-OVD,fog,clean,margin_logit,3967,0.17082844328633898,2.111105349046259,0.03351805474129525,0.10513305599340028,0.23652383057927767,0.550541971262919
weather minus clean,OW-OVD,fog,clean,top1_correct,3967,0.012351903201411647,0.2715241328146294,0.004310993173019547,0.0039023565822933343,0.02080144982052996,0.04310562137635493
weather minus clean,OW-OVD,fog,clean,entropy,3967,-0.02286742695602526,0.32022451047479017,0.005084209879174203,-0.0328324783192067,-0.01290237559284382,0.45954121502394757
weather minus clean,OW-OVD,rain,clean,correct_logit,3967,0.41153681774057665,1.7944572771092429,0.028490628036272996,0.3556951867894816,0.4673784486916717,0.6296949836148222
weather minus clean,OW-OVD,rain,clean,correct_prob,3967,-0.0016015094618636824,0.045943023992451267,0.0007294381561087504,-0.003031208247836833,-0.00017181067589053158,0.6296949836148222
weather minus clean,OW-OVD,rain,clean,margin_logit,3967,-0.09615540895108646,2.159402237098376,0.03428486523623167,-0.16335374481410053,-0.028957073088072383,0.4721451978825309
weather minus clean,OW-OVD,rain,clean,top1_correct,3967,0.003024955886059995,0.28046306556673944,0.0044529167570080685,-0.005702760957675818,0.01175267272979581,0.04083690446180993
weather minus clean,OW-OVD,rain,clean,entropy,3967,0.03441476965880679,0.31272209258100536,0.0049650938654851855,0.024683185682455828,0.04414635363515776,0.5697000252079657
weather minus clean,OW-OVD,snow,clean,correct_logit,3967,0.3728046543447323,1.6629140215725513,0.02640211358012853,0.3210565117276804,0.4245527969617842,0.6344844971010839
weather minus clean,OW-OVD,snow,clean,correct_prob,3967,-0.001093699554013834,0.03683767893902883,0.00058487244124432,-0.002240049538852701,5.2650430825033206e-05,0.6344844971010839
weather minus clean,OW-OVD,snow,clean,margin_logit,3967,-0.34749035718671195,2.071733035343291,0.03289293986174473,-0.41196051931573163,-0.28302019505769227,0.4197126291908243
weather minus clean,OW-OVD,snow,clean,top1_correct,3967,-0.023947567431308294,0.2852593820568261,0.00452906795369938,-0.032824540620559076,-0.015070594242057509,0.02898916057474162
weather minus clean,OW-OVD,snow,clean,entropy,3967,0.0444494107556141,0.30658833965356713,0.0048677081682321635,0.03490870274587906,0.05399011876534914,0.595916309553819
weather minus clean,Mamba-KAT,fog,clean,correct_logit,3967,0.4412287933747715,1.9138046363978531,0.030385508044829604,0.3816731976069055,0.5007843891426376,0.6468364003024956
weather minus clean,Mamba-KAT,fog,clean,correct_prob,3967,-0.0013898777468062007,0.05092269467149539,0.000808500470307911,-0.0029745386686097063,0.00019478317499730465,0.6468364003024956
weather minus clean,Mamba-KAT,fog,clean,margin_logit,3967,0.15558964616560594,2.1863869930131643,0.03471330265473425,0.08755157296232682,0.22362771936888506,0.546760776405344
weather minus clean,Mamba-KAT,fog,clean,top1_correct,3967,0.01008318628686665,0.2766764207379565,0.004392796134077371,0.0014733058640750037,0.018693066709658295,0.0433577010335266
weather minus clean,Mamba-KAT,fog,clean,entropy,3967,-0.022911139804779497,0.30973463761867653,0.004917661993357284,-0.03254975731175977,-0.013272522297799221,0.46634736576758257
weather minus clean,Mamba-KAT,rain,clean,correct_logit,3967,0.5531364924846983,1.8205873549006697,0.028905495715994912,0.4964817208813483,0.6097912640880483,0.6617091000756239
weather minus clean,Mamba-KAT,rain,clean,correct_prob,3967,-0.0017116974071341004,0.05210535616823722,0.0008272776065631544,-0.0033331615159978827,-9.023329827031784e-05,0.6617091000756239
weather minus clean,Mamba-KAT,rain,clean,margin_logit,3967,-0.08977579583681769,2.198394615070841,0.034903947869869445,-0.1581875336617618,-0.021364058011873577,0.47340559616838923
weather minus clean,Mamba-KAT,rain,clean,top1_correct,3967,-0.0007562389715149988,0.2836073241160261,0.004502838202294249,-0.009581801848011726,0.00806932390498173,0.039828585833123265
weather minus clean,Mamba-KAT,rain,clean,entropy,3967,0.02913665504177202,0.3115091214302379,0.00494583550234883,0.019442817457168315,0.03883049262637572,0.5606251575497857
weather minus clean,Mamba-KAT,snow,clean,correct_logit,3967,0.3967834116380642,1.604597489488355,0.025476221030235814,0.346850018418802,0.4467168048573264,0.6296949836148222
weather minus clean,Mamba-KAT,snow,clean,correct_prob,3967,-0.0005116635780559476,0.04143082142811693,0.0006577978409423389,-0.0018009473463029319,0.0007776201901910367,0.6296949836148222
weather minus clean,Mamba-KAT,snow,clean,margin_logit,3967,-0.3633826235123777,2.048253627025658,0.03252015690534742,-0.42712213104685864,-0.2996431159778968,0.415427275018906
weather minus clean,Mamba-KAT,snow,clean,top1_correct,3967,-0.02823292160322662,0.2781494176385014,0.004416182930368009,-0.03688864014674792,-0.019577203059705322,0.024955886059994957
weather minus clean,Mamba-KAT,snow,clean,entropy,3967,0.042382435569284935,0.3041425400948956,0.004828876167957604,0.032917838280088034,0.051847032858481835,0.5893622384673557
